base_price,discounted_price,product_name,category,brand,description
"13,15","10,52",Soin colorant 020 - 100% Sahara - 100g,vegan,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"11,29","8,22",Lait autobronzant corps - 150ml,vegan,par Lavera,"Prix au litre : 54,8€/litreProtégez-vous du soleil naturellement avec le Lait après-soleil de Lavera!Il confère à la peau un soin intensif et équilibrant après le bain de soleil. Il prend soin de la peau grâce aux huiles bio de soja, de graines de tournesol, de noix de coco et au beurre de karité, qui le compose.Du gel"
"13,15","10,52",Soin colorant 070 - 100% Marron - 100g,vegan,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"10,60","8,48",Shampoing à la Caféine - Age Energy - 250ml,vegan,par Logona,"Prix au litre : 33,9€/litreUne formule enrichie en aloe vera bio, en grenade bio et en huile de graines de bardane bio, qui apportent un soin supplémentaire et stimulent la repousse des cheveux fins et clairsemés.Actifs : . Extrait de feuilles de bambou : Riche en silice, le bambou apporte des minéraux aux cheveux pour"
"13,15","10,52",Soin colorant 101 - 100% Noir Intense - 100g,vegan,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"10,90","8,72",Shampoing Hydratant à l'Aloé vera - 250ml,vegan,par Logona,"Prix au litre : 34,9€/litreAdapté aux cheveux agressés et sur-sollicités ce shampooing soin à l’aloès leur redonne souplesse et douceur tout en protégeant la tige capillaire. Hydratés et protégés, les cheveux sont souples et irrésistiblement doux au toucher.Ingrédients actifs : Jus d’aloe vera (hydrate et nourrit inten"
"8,80","6,77",Crème de Jour 67% Aloé Véra bio équitable - 50ml,vegan,par Pur'Aloé,"La crème de jour Pur'Aloé est à utiliser tous les jours pour raffermir la peau et affiner la ligne et les contours de votre visage grâce à son effet tenseur et hydratant. Avec ce soin régulier, votre peau est toujours souple et fine"
"4,99","3,73",Après-shampoing Protection et Soin - 200ml,vegan,par Lavera,"Prix au litre : 18,7€/litreDécouvrez l'Après-shampooing protection et soin: Une Formule enrichie en rose bio et de protéine de pois qui cible les cheveux secs tout en renforçant la structure du cheveu! Produit Vegan et certifié Natrue. Conseils d'utilisation :Appliquer sur cheveux mouillés, faire mousser en effectuant "
"3,79","2,77",Mix'Gom - 60g,sans-gluten,par Ma Vie Sans Gluten,"Prix au kilo : 46,17€/kg Mix'Gom, l'aide culinaire bio sans gluten pour pains et pâtisseries. Sachet de 60g. Fabrication française.Ingrédients : Psyllium blond (Plantago ovata), Gomme d’acacia (Acacia senegal)Valeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 53/13 ; Matières grasses : 0,1g ; Glucides : 1,7g ; Pro"
"3,69","2,60",Bouillie Crème De Riz (dès 4 mois) - 250g,sans-gluten,par Holle,"Prix au kilo : 10,4€/kgCrème de Riz Bio pour bébé, à partir de 4 mois. Boîte de 250 grammes.Ingrédients:Riz complet*, vitamine B1Valeurs nutritionelles ajoutées très bientôt"
